#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0	0.960	0.291	0.368	0	0.923	0.550
ACTG2	EEF1A2	9606.ENSP00000386857	9606.ENSP00000217182	0	0	0	0	0.185	0.257	0	0.280	0.526
ACTG2	ATP1B2	9606.ENSP00000386857	9606.ENSP00000250111	0	0	0	0	0	0.069	0	0.627	0.638
ACTG2	MYH11	9606.ENSP00000386857	9606.ENSP00000379616	0	0	0	0	0.566	0.369	0.600	0.641	0.955
ADAM12	MMP2	9606.ENSP00000357668	9606.ENSP00000219070	0	0	0	0	0.173	0	0	0.425	0.504
ADAM12	COL1A1	9606.ENSP00000357668	9606.ENSP00000225964	0	0	0	0	0.181	0	0	0.473	0.551
ADAM12	TIMP3	9606.ENSP00000357668	9606.ENSP00000266085	0	0	0	0	0.098	0	0	0.553	0.580
ADAM12	FN1	9606.ENSP00000357668	9606.ENSP00000346839	0	0	0	0	0.152	0	0	0.475	0.536
ADAM12	POSTN	9606.ENSP00000357668	9606.ENSP00000369071	0	0	0	0	0.214	0	0	0.399	0.508
ADAMTS12	COMP	9606.ENSP00000422554	9606.ENSP00000222271	0	0	0	0	0	0.587	0	0.603	0.829
ADAMTS12	ADAMTS2	9606.ENSP00000422554	9606.ENSP00000251582	0	0	0	0.728	0.111	0	0.900	0.628	0.922
ADAMTS12	ADAMTS16	9606.ENSP00000422554	9606.ENSP00000274181	0	0	0	0.810	0	0	0.900	0.712	0.913
ADAMTS12	THBS2	9606.ENSP00000422554	9606.ENSP00000355751	0	0	0	0.542	0.161	0.123	0.900	0.209	0.926
ADAMTS16	ADAMTS2	9606.ENSP00000274181	9606.ENSP00000251582	0	0	0	0.751	0.063	0	0.900	0.569	0.915
ADAMTS16	THBS2	9606.ENSP00000274181	9606.ENSP00000355751	0	0	0	0.543	0.062	0.123	0.900	0.134	0.914
